Name,Earnings,Year,Sport,auto_id,r
Will Clark,3.799999952,1990,Baseball,1659,1
Curtis Strange,3.799999952,1990,Golf,1658,2
Gerhard Berger,4,1990,Racing,1657,3
Greg LeMond,4.199999809,1990,Cycling,1656,4
Patrick Ewing,4.199999809,1990,Basketball,1655,5
Joe Montana,4.400000095,1990,Football,1654,6
Robin Yount,4.5,1990,Baseball,1653,7
Magic Johnson,4.5,1990,Basketball,1652,8
Gabriela Sabatini,4.5,1990,Tennis,1651,9
Bo Jackson,4.5,1990,Baseball,1650,10
Joe Carter,3.900000095,1991,Baseball,1629,1
Curtis Strange,4,1991,Golf,1628,2
Kevin Mitchell,4.099999905,1991,Baseball,1627,3
Nelson Piquet,4.199999809,1991,Racing,1626,4
Will Clark,4.199999809,1991,Baseball,1625,5
Greg LeMond,4.300000191,1991,Cycling,1624,6
Darryl Strawberry,4.300000191,1991,Baseball,1623,7
Hakeem Olajuwon,4.300000191,1991,Basketball,1622,8
Pete Sampras,4.400000095,1991,Tennis,1621,9
Bo Jackson,4.5,1991,Baseball,1620,10
Cecil Fielder,4.599999905,1992,Baseball,1589,1
Doug Drabek,4.800000191,1992,Baseball,1588,2
Barry Bonds,4.800000191,1992,Baseball,1587,3
Will Clark,4.800000191,1992,Baseball,1586,4
Lee Trevino,5,1992,Golf,1585,5
Frank Viola,5,1992,Baseball,1584,6
Patrick Ewing,5,1992,Basketball,1583,7
Ivan Lendl,5,1992,Tennis,1582,8
Ruben Sierra,5.099999905,1992,Baseball,1581,9
Dwight Gooden,5.400000095,1992,Baseball,1580,10
Steve Young,6,1993,Football,1549,1
Dwight Gooden,6.099999905,1993,Baseball,1548,2
Nolan Ryan,6.099999905,1993,Baseball,1547,3
Drew Bledsoe,6.099999905,1993,Football,1546,4
Riccardo Patrese,6.5,1993,Racing,1545,5
Gabriela Sabatini,6.5,1993,Tennis,1544,6
Charles Barkley,6.5,1993,Basketball,1543,7
Bobby Bonilla,6.599999905,1993,Baseball,1542,8
Boris Becker,6.800000191,1993,Tennis,1541,9
Ken Griffey Jr,7,1993,Baseball,1540,10
Al Unser Jr,4.800000191,1994,Racing,1509,1
Gabriela Sabatini,4.900000095,1994,Tennis,1508,2
Deion Sanders,4.900000095,1994,Football/Baseball,1507,3
Will Clark,5.199999809,1994,Baseball,1506,4
Pernell Whitaker,5.199999809,1994,Boxing,1505,5
Roberto Baggio,5.300000191,1994,Soccer,1504,6
Dale Earnhardt,5.5,1994,Racing,1503,7
Trent Dilfer,5.5,1994,Football,1502,8
Mario Andretti,5.5,1994,Racing,1501,9
Michael Chang,5.800000191,1994,Tennis,1500,10
Dan Marino,6.199999809,1995,Football,1469,1
Cecil Fielder,6.699999809,1995,Baseball,1468,2
Michael Irvin,6.900000095,1995,Football,1467,3
Jerry Rice,7,1995,Football,1466,4
Joe Carter,7,1995,Baseball,1465,5
Steve Young,7,1995,Football,1464,6
Mark Messier,7,1995,Hockey,1463,7
Pernell Whitaker,7,1995,Boxing,1462,8
Charles Barkley,7.099999905,1995,Basketball,1461,9
Greg Maddux,7.199999809,1995,Baseball,1460,10
Gerhard Berger,7.5,1996,Racing,1429,1
Cecil Fielder,7.599999905,1996,Baseball,1428,2
Greg Norman,7.900000095,1996,Golf,1427,3
Charles Barkley,8,1996,Basketball,1426,4
George Foreman,8,1996,Boxing,1425,5
Troy Aikman,8.100000381,1996,Football,1424,6
Damon Hill,8.199999809,1996,Racing,1423,7
Jack Nicklaus,8.199999809,1996,Golf,1422,8
Barry Bonds,8.300000191,1996,Baseball,1421,9
Mario Lemieux,8.300000191,1996,Hockey,1420,10
Brett Favre,9.199999809,1997,Football,1389,1
Frank Thomas,9.300000191,1997,Baseball,1388,2
Jack Nicklaus,9.300000191,1997,Golf,1387,3
Sammy Sosa,9.5,1997,Baseball,1386,4
